testy\poz-oli\20.300+30;309;160;332;188;62;2.313
testy\poz-oli\20.300+30;309;170;313;188;62;2.413
testy\poz-oli\20.300+30;309;180;313;188;62;2.513
testy\poz-oli\20.300+30;309;190;313;188;62;2.619
testy\poz-oli\25.500+50;509;0;4887;55;11;0.037
testy\poz-oli\25.500+50;509;10;1332;200;40;1.118
testy\poz-oli\25.500+50;509;20;1138;236;47;1.963
testy\poz-oli\25.500+50;509;30;973;254;50;2.781
testy\poz-oli\25.500+50;509;40;930;268;53;3.606
testy\poz-oli\25.500+50;509;50;859;278;55;4.397
testy\poz-oli\25.500+50;509;60;867;278;55;5.141
testy\poz-oli\25.500+50;509;70;723;281;56;5.816
testy\poz-oli\25.500+50;509;80;754;301;60;6.363
testy\poz-oli\25.500+50;509;90;619;308;61;6.783
testy\poz-oli\25.500+50;509;100;580;314;62;7.172
testy\poz-oli\25.500+50;509;110;534;317;63;7.528
testy\poz-oli\25.500+50;509;120;520;314;62;7.857
testy\poz-oli\25.500+50;509;130;501;316;63;8.166
testy\poz-oli\25.500+50;509;140;507;321;64;8.453
testy\poz-oli\25.500+50;509;150;488;325;65;8.752
testy\poz-oli\25.500+50;509;160;484;327;65;9.036
testy\poz-oli\25.500+50;509;170;484;327;65;9.318
testy\poz-oli\25.500+50;509;180;482;327;65;9.594
testy\poz-oli\25.500+50;509;190;482;327;65;9.863
testy\poz-oli\35.200+20;209;0;1917;23;11;0.007
testy\poz-oli\35.200+20;209;10;505;95;47;0.097
testy\poz-oli\35.200+20;209;20;412;111;55;0.188
testy\poz-oli\35.200+20;209;30;302;117;58;0.285
testy\poz-oli\35.200+20;209;40;272;127;63;0.361
testy\poz-oli\35.200+20;209;50;298;126;63;0.437
testy\poz-oli\35.200+20;209;60;245;128;64;0.497
testy\poz-oli\35.200+20;209;70;235;125;62;0.551
testy\poz-oli\35.200+20;209;80;243;122;61;0.6
testy\poz-oli\35.200+20;209;90;248;122;61;0.657
testy\poz-oli\35.200+20;209;100;243;122;61;0.707
testy\poz-oli\35.200+20;209;110;243;122;61;0.753
testy\poz-oli\35.200+20;209;120;243;122;61;0.802
testy\poz-oli\35.200+20;209;130;243;122;61;0.847
testy\poz-oli\35.200+20;209;140;243;122;61;0.897
testy\poz-oli\35.200+20;209;150;234;122;61;0.945
testy\poz-oli\35.200+20;209;160;243;122;61;0.991
testy\poz-oli\35.200+20;209;170;243;122;61;1.038
testy\poz-oli\35.200+20;209;180;243;122;61;1.084
testy\poz-oli\35.200+20;209;190;243;122;61;1.129
testy\poz-oli\53.500+50;509;0;4879;55;11;0.038
testy\poz-oli\53.500+50;509;10;1161;218;43;1.007
testy\poz-oli\53.500+50;509;20;1076;242;48;1.746
testy\poz-oli\53.500+50;509;30;860;254;50;2.421
testy\poz-oli\53.500+50;509;40;782;263;52;3.02
testy\poz-oli\53.500+50;509;50;733;274;54;3.541
testy\poz-oli\53.500+50;509;60;673;284;56;3.985
testy\poz-oli\53.500+50;509;70;610;291;58;4.415
testy\poz-oli\53.500+50;509;80;597;296;59;4.785
testy\poz-oli\53.500+50;509;90;589;298;59;5.121
testy\poz-oli\53.500+50;509;100;572;296;59;5.427
testy\poz-oli\53.500+50;509;110;561;295;59;5.709
testy\poz-oli\53.500+50;509;120;564;296;59;6.002
testy\poz-oli\53.500+50;509;130;554;298;59;6.281
testy\poz-oli\53.500+50;509;140;554;297;59;6.572
testy\poz-oli\53.500+50;509;150;554;297;59;6.853
testy\poz-oli\53.500+50;509;160;558;297;59;7.125
testy\poz-oli\53.500+50;509;170;554;297;59;7.407
testy\poz-oli\53.500+50;509;180;554;297;59;7.68
testy\poz-oli\53.500+50;509;190;551;297;59;7.958
testy\poz-oli\55.300+30;309;0;2902;35;11;0.013
testy\poz-oli\55.300+30;309;10;873;129;43;0.263
testy\poz-oli\55.300+30;309;20;562;160;53;0.505
