testy\poz-los\20.300+120;309;100;1095;167;55
testy\poz-los\20.300+120;309;110;1075;172;57
testy\poz-los\20.300+120;309;120;1067;171;57
testy\poz-los\20.300+120;309;130;1093;173;57
testy\poz-los\20.300+120;309;140;1084;172;57
testy\poz-los\20.300+120;309;150;1027;174;58
testy\poz-los\20.300+120;309;160;1012;174;58
testy\poz-los\20.300+120;309;170;1019;181;60
testy\poz-los\20.300+120;309;180;1025;176;58
testy\poz-los\20.300+120;309;190;986;176;58
testy\poz-los\25.500+200;509;0;6173;56;11
testy\poz-los\25.500+200;509;10;2711;150;30
testy\poz-los\25.500+200;509;20;2420;173;34
testy\poz-los\25.500+200;509;30;2324;184;36
testy\poz-los\25.500+200;509;40;2333;187;37
testy\poz-los\25.500+200;509;50;2247;193;38
testy\poz-los\25.500+200;509;60;2273;193;38
testy\poz-los\25.500+200;509;70;2281;200;40
testy\poz-los\25.500+200;509;80;2199;206;41
testy\poz-los\25.500+200;509;90;2183;213;42
testy\poz-los\25.500+200;509;100;2112;213;42
testy\poz-los\25.500+200;509;110;2095;218;43
testy\poz-los\25.500+200;509;120;2116;221;44
testy\poz-los\25.500+200;509;130;2056;226;45
testy\poz-los\25.500+200;509;140;1938;229;45
testy\poz-los\25.500+200;509;150;1944;229;45
testy\poz-los\25.500+200;509;160;1892;224;44
testy\poz-los\25.500+200;509;170;1860;234;46
testy\poz-los\25.500+200;509;180;1816;233;46
testy\poz-los\25.500+200;509;190;1758;231;46
testy\poz-los\35.200+80;209;0;2449;24;12
testy\poz-los\35.200+80;209;10;1072;69;34
testy\poz-los\35.200+80;209;20;898;87;43
testy\poz-los\35.200+80;209;30;904;87;43
testy\poz-los\35.200+80;209;40;947;91;45
testy\poz-los\35.200+80;209;50;831;96;48
testy\poz-los\35.200+80;209;60;786;111;55
testy\poz-los\35.200+80;209;70;783;111;55
testy\poz-los\35.200+80;209;80;732;118;59
testy\poz-los\35.200+80;209;90;706;126;63
testy\poz-los\35.200+80;209;100;708;119;59
testy\poz-los\35.200+80;209;110;697;127;63
testy\poz-los\35.200+80;209;120;670;124;62
testy\poz-los\35.200+80;209;130;699;123;61
testy\poz-los\35.200+80;209;140;697;125;62
testy\poz-los\35.200+80;209;150;665;125;62
testy\poz-los\35.200+80;209;160;665;128;64
testy\poz-los\35.200+80;209;170;673;127;63
testy\poz-los\35.200+80;209;180;649;128;64
testy\poz-los\35.200+80;209;190;650;129;64
testy\poz-los\53.500+200;509;0;6170;55;11
testy\poz-los\53.500+200;509;10;2657;161;32
testy\poz-los\53.500+200;509;20;2459;181;36
testy\poz-los\53.500+200;509;30;2357;185;37
testy\poz-los\53.500+200;509;40;2200;197;39
testy\poz-los\53.500+200;509;50;2263;210;42
testy\poz-los\53.500+200;509;60;2216;218;43
testy\poz-los\53.500+200;509;70;2182;227;45
testy\poz-los\53.500+200;509;80;2095;232;46
testy\poz-los\53.500+200;509;90;1948;242;48
testy\poz-los\53.500+200;509;100;2026;241;48
testy\poz-los\53.500+200;509;110;1956;240;48
testy\poz-los\53.500+200;509;120;1934;248;49
testy\poz-los\53.500+200;509;130;1819;246;49
testy\poz-los\53.500+200;509;140;1819;251;50
testy\poz-los\53.500+200;509;150;1826;246;49
testy\poz-los\53.500+200;509;160;1800;248;49
testy\poz-los\53.500+200;509;170;1756;250;50
testy\poz-los\53.500+200;509;180;1718;252;50
testy\poz-los\53.500+200;509;190;1697;257;51
testy\poz-los\55.300+120;309;0;3693;33;11
testy\poz-los\55.300+120;309;10;1680;105;35
testy\poz-los\55.300+120;309;20;1474;111;37
testy\poz-los\55.300+120;309;30;1375;121;40
testy\poz-los\55.300+120;309;40;1354;131;43
testy\poz-los\55.300+120;309;50;1367;121;40
testy\poz-los\55.300+120;309;60;1428;129;43
testy\poz-los\55.300+120;309;70;1412;129;43
testy\poz-los\55.300+120;309;80;1305;141;47
testy\poz-los\55.300+120;309;90;1310;144;48
testy\poz-los\55.300+120;309;100;1240;139;46
testy\poz-los\55.300+120;309;110;1239;145;48
testy\poz-los\55.300+120;309;120;1204;153;51
testy\poz-los\55.300+120;309;130;1150;151;50
testy\poz-los\55.300+120;309;140;1140;158;52
testy\poz-los\55.300+120;309;150;1145;156;52
testy\poz-los\55.300+120;309;160;1101;149;49
testy\poz-los\55.300+120;309;170;1104;153;51
testy\poz-los\55.300+120;309;180;1115;161;53
testy\poz-los\55.300+120;309;190;1060;159;53
testy\poz-los\55.400+160;409;0;4936;44;11
testy\poz-los\55.400+160;409;10;2238;128;32
testy\poz-los\55.400+160;409;20;1908;143;35
testy\poz-los\55.400+160;409;30;1870;154;38
testy\poz-los\55.400+160;409;40;1892;157;39
testy\poz-los\55.400+160;409;50;1887;157;39
testy\poz-los\55.400+160;409;60;1825;164;41
testy\poz-los\55.400+160;409;70;1773;160;40
testy\poz-los\55.400+160;409;80;1757;174;43
testy\poz-los\55.400+160;409;90;1634;177;44
testy\poz-los\55.400+160;409;100;1587;181;45
testy\poz-los\55.400+160;409;110;1546;188;47
testy\poz-los\55.400+160;409;120;1536;184;46
testy\poz-los\55.400+160;409;130;1480;187;46
testy\poz-los\55.400+160;409;140;1439;189;47
testy\poz-los\55.400+160;409;150;1428;189;47
testy\poz-los\55.400+160;409;160;1388;198;49
testy\poz-los\55.400+160;409;170;1361;206;51
testy\poz-los\55.400+160;409;180;1359;203;50
testy\poz-los\55.400+160;409;190;1347;212;53
testy\poz-los\58.300+120;309;0;3716;33;11
testy\poz-los\58.300+120;309;10;1576;101;33
testy\poz-los\58.300+120;309;20;1393;114;38
testy\poz-los\58.300+120;309;30;1428;125;41
testy\poz-los\58.300+120;309;40;1373;129;43
testy\poz-los\58.300+120;309;50;1305;136;45
testy\poz-los\58.300+120;309;60;1306;138;46
testy\poz-los\58.300+120;309;70;1267;144;48
testy\poz-los\58.300+120;309;80;1231;147;49
testy\poz-los\58.300+120;309;90;1223;154;51
testy\poz-los\58.300+120;309;100;1154;158;52
testy\poz-los\58.300+120;309;110;1078;168;56
testy\poz-los\58.300+120;309;120;1119;170;56
testy\poz-los\58.300+120;309;130;1062;177;59
testy\poz-los\58.300+120;309;140;1071;165;55
testy\poz-los\58.300+120;309;150;1031;166;55
testy\poz-los\58.300+120;309;160;1043;170;56
testy\poz-los\58.300+120;309;170;1015;178;59
testy\poz-los\58.300+120;309;180;1020;179;59
testy\poz-los\58.300+120;309;190;1021;187;62
testy\poz-los\62.400+160;409;0;4931;44;11
testy\poz-los\62.400+160;409;10;2155;134;33
testy\poz-los\62.400+160;409;20;1927;150;37
testy\poz-los\62.400+160;409;30;1880;149;37
testy\poz-los\62.400+160;409;40;1852;154;38
testy\poz-los\62.400+160;409;50;1834;159;39
testy\poz-los\62.400+160;409;60;1905;156;39
testy\poz-los\62.400+160;409;70;1827;162;40
testy\poz-los\62.400+160;409;80;1673;177;44
testy\poz-los\62.400+160;409;90;1711;181;45
testy\poz-los\62.400+160;409;100;1695;185;46
testy\poz-los\62.400+160;409;110;1662;197;49
testy\poz-los\62.400+160;409;120;1559;194;48
testy\poz-los\62.400+160;409;130;1585;189;47
testy\poz-los\62.400+160;409;140;1595;196;49
testy\poz-los\62.400+160;409;150;1561;198;49
testy\poz-los\62.400+160;409;160;1508;203;50
testy\poz-los\62.400+160;409;170;1432;203;50
testy\poz-los\62.400+160;409;180;1419;198;49
testy\poz-los\62.400+160;409;190;1403;200;50
testy\poz-los\68.400+160;409;0;4939;44;11
